Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes
Abellaite,Abellaite,Abellaite,NaPb2+2(CO3)2(OH),NaPb^2+^_2_(CO_3_)_2_(OH),NaPb<sup>2+</sup><sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),Na Pb C O H,,6482,2014,Approved,Not in a structural group,hexagonal,"P31c, P63mc",Na Pb^2+ C O H,Abe,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Abelloemringerite,Abelloemringerite,Abelloemringerite,Cu2+2Pb2+2Mn3+Mn4+3O11(OH)(H2O)2·H2O,Cu^2+^_2_Pb^2+^_2_Mn^3+^Mn^4+^_3_O_11_(OH)(H_2_O)_2_·H_2_O,Cu<sup>2+</sup><sub>2</sub>Pb<sup>2+</sup><sub>2</sub>Mn<sup>3+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>11</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>·H<sub>2</sub>O,Cu<sub>2</sub>Pb<sub>2</sub>Mn<sup>3+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>11</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>·H<sub>2</sub>O,Cu Pb Mn O H,,7598,2025,"Approved, Pending publication",Not in a structural group,orthorhombic,Imma,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,Abem,
Abelsonite,Abelsonite,Abelsonite,Ni2+C31H32N4,Ni^2+^C_31_H_32_N_4_,Ni<sup>2+</sup>C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>,NiC<sub>31</sub>H<sub>32</sub>N<sub>4</sub>,Ni C H N,,777,1975,Approved,Not in a structural group,triclinic,P1,Ni^2+ C H N,Abl,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
Abenakiite-(Ce),Abenakiite-(Ce),Abenakiite-(Ce),Na26Ce3+6(SiO3)6(PO4)6(CO3)6(S4+O2)O,Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,Na<sub>26</sub>Ce<sup>3+</sup><sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O,Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O,Na Ce Si O P C S,,778,1991,Approved,Not in a structural group,hexagonal,R3,Na Ce^3+ Si O P C S^4+,Abk-Ce,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Abernathyite,Abernathyite,Abernathyite,K(U6+O2)As5+O4·3H2O,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K(U<sup>6+</sup>O<sub>2</sub>)As<sup>5+</sup>O<sub>4</sub>·3H<sub>2</sub>O,K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O,K U O As H,,779,1956,"Approved, Grandfathered",Trögerite,tetragonal,"P4/nmm, P4/ncc",K U^6+ O As^5+ H,Abn,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Abhurite,Abhurite,Abhurite,Sn2+21O6(OH)14Cl16,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,Sn O H Cl,,780,1983,Approved,Not in a structural group,hexagonal,R32,Sn^2+ O H Cl,Abh,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
Abramovite,Abramovite,Abramovite,Pb2+2Sn4+In3+Bi3+S2-7,Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_,Pb<sup>2+</sup><sub>2</sub>Sn<sup>4+</sup>In<sup>3+</sup>Bi<sup>3+</sup>S<sup>2-</sup><sub>7</sub>,Pb<sub>2</sub>SnInBiS<sub>7</sub>,Pb Sn In Bi S,,5327,2006,Approved,Not in a structural group,triclinic,P1,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,Abm,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals"
Abswurmbachite,Abswurmbachite,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>),Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>),Cu Mn O Si,,781,1990,Approved,Braunite,tetragonal,I41/acd,Cu^2+ Mn^3+ O Si,Abs,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Abuite,Abuite,Abuite,CaAl2(PO4)2F2,CaAl_2_(PO_4_)_2_F_2_,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>,Ca Al P O F,,6382,2014,Approved,Not in a structural group,orthorhombic,P212121,Ca Al P O F,Abu,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Acanthite,Acanthite,Acanthite,Ag1+2S2-,Ag^1+^_2_S^2-^,Ag<sup>1+</sup><sub>2</sub>S<sup>2-</sup>,Ag<sub>2</sub>S,Ag S,,782,1855,"Approved, Grandfathered",Acanthite,monoclinic,P21/n,Ag^1+ S^2-,Aca,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
Acetamide,Acetamide,Acetamide,CH3CONH2,CH_3_CONH_2_,CH<sub>3</sub>CONH<sub>2</sub>,CH<sub>3</sub>CONH<sub>2</sub>,C H O N,,783,1974,Approved,Not in a structural group,hexagonal,R3c,C H O N,Ace,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Achalaite,Achalaite,Achalaite,Fe2+Ti4+Nb5+2O8,Fe^2+^Ti^4+^Nb^5+^_2_O_8_,Fe<sup>2+</sup>Ti<sup>4+</sup>Nb<sup>5+</sup><sub>2</sub>O<sub>8</sub>,Fe<sup>2+</sup>TiNb<sub>2</sub>O<sub>8</sub>,Fe Ti Nb O,,6262,2013,Approved,Columbite,monoclinic,C2/c,Fe^2+ Ti^4+ Nb^5+ O,Ahl,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Achávalite,Achavalite,Achávalite,FeSe,FeSe,FeSe,FeSe,Fe Se,,5363,1939,"Approved, Renamed",Nickeline,hexagonal,"P63mc, P63/mmc",Fe Se,Ahv,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Achyrophanite,Achyrophanite,Achyrophanite,"(K,Na)3(Fe3+,Ti4+,Al,Mg)5O2(As5+O4)5","(K,Na)_3_(Fe^3+^,Ti^4+^,Al,Mg)_5_O_2_(As^5+^O_4_)_5_","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti<sup>4+</sup>,Al,Mg)<sub>5</sub>O<sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>5</sub>","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti,Al,Mg)<sub>5</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>5</sub>",K Na Fe Ti Al Mg O As,,6754,2018,Approved,Not in a structural group,orthorhombic,P2221,K Na Fe^3+ Ti^4+ Al Mg O As^5+,Aph,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Acmonidesite,Acmonidesite,Acmonidesite,"(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_","(N<sup>3-</sup>H<sub>4</sub>,K,Pb<sup>2+</sup>,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>","(NH<sub>4</sub>,K,Pb,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>",N H K Pb Na Fe S O Cl,,6229,2013,Approved,Not in a structural group,orthorhombic,C2221,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,Acm,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Actinolite,Actinolite,Actinolite,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,☐Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Ca Mg Fe Si O H,,784,1794,"Approved, Redefined",Amphibole,monoclinic,C2/m,Ca Mg Fe^2+ Si O H,Act,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism"
Acuminite,Acuminite,Acuminite,SrAlF4(OH)·H2O,SrAlF_4_(OH)·H_2_O,SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O,SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O,Sr Al F O H,,785,1986,Approved,Tikhonenkovite,monoclinic,C2/c,Sr Al F O H,Acu,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Adachiite,Adachiite,Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH),CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH),Ca Fe Al Si O B H,,6164,2012,Approved,Tourmaline,hexagonal,R3m,Ca Fe^2+ Al Si O B H,Adc,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Adamite,Adamite,Adamite,Zn2+2As5+O4(OH),Zn^2+^_2_As^5+^O_4_(OH),Zn<sup>2+</sup><sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH),Zn<sub>2</sub>(AsO<sub>4</sub>)(OH),Zn As O H,,786,1866,"Approved, Grandfathered",Andalusite,orthorhombic,Pnnm,Zn^2+ As^5+ O H,Ad,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Adamsite-(Y),Adamsite-(Y),Adamsite-(Y),NaY(CO3)2·6H2O,NaY(CO_3_)_2_·6H_2_O,NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O,NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O,Na Y C O H,,787,1999,Approved,Not in a structural group,triclinic,"P1, P1",Na Y C O H,Ads-Y,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Adanite,Adanite,Adanite,Pb2+2(Te4+O3)(S6+O4),Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_),Pb<sup>2+</sup><sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(S<sup>6+</sup>O<sub>4</sub>),Pb<sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(SO<sub>4</sub>),Pb Te O S,,6938,2019,Approved,,monoclinic,P21/n,Pb^2+ Te^4+ O S^6+,Adn,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Addibischoffite,Addibischoffite,Addibischoffite,Ca2Al6Al6O20,Ca_2_Al_6_Al_6_O_20_,Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>,Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>,Ca Al O,,6412,2015,Approved,Sapphirine,triclinic,P1,Ca Al O,Add,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
Adelite,Adelite,Adelite,CaMgAs5+O4(OH),CaMgAs^5+^O_4_(OH),CaMgAs<sup>5+</sup>O<sub>4</sub>(OH),CaMg(AsO<sub>4</sub>)(OH),Ca Mg As O H,,788,1891,"Approved, Grandfathered",Conichalcite,orthorhombic,P212121,Ca Mg As^5+ O H,Ade,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Admontite,Admontite,Admontite,MgB6O10·7H2O,MgB_6_O_10_·7H_2_O,MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O,MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O,Mg B O H,,789,1978,Approved,Not in a structural group,monoclinic,P21/c,Mg B O H,Amt,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Adolfpateraite,Adolfpateraite,Adolfpateraite,K(U6+O2)(S6+O4)(OH)(H2O),K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),K(U<sup>6+</sup>O<sub>2</sub>)(S<sup>6+</sup>O<sub>4</sub>)(OH)(H<sub>2</sub>O),K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O),K U O S H,,5970,2011,Approved,Not in a structural group,monoclinic,P21/c,K U^6+ O S^6+ H,Adp,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Adranosite,Adranosite,Adranosite,(N3-H4)4NaAl2(S6+O4)4Cl(OH)2,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_,(N<sup>3-</sup>H<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>,(NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>,N H Na Al S O Cl,,5717,2008,Approved,Adranosite,tetragonal,I41/acd,N^3- H Na Al S^6+ O Cl,Arn,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Adranosite-(Fe),Adranosite-(Fe),Adranosite-(Fe),(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2,(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_,(N<sup>3-</sup>H<sub>4</sub>)<sub>4</sub>NaFe<sup>3+</sup><sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>,(NH<sub>4</sub>)<sub>4</sub>NaFe<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>,N H Na Fe S O Cl,,5936,2011,Approved,Adranosite,tetragonal,I41/acd,N^3- H Na Fe^3+ S^6+ O Cl,Arn-Fe,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Adrianite,Adrianite,Adrianite,Ca12(Al4Mg3Si7)O32Cl6,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>,Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>,Ca Al Mg Si O Cl,,6322,2014,Approved,,cubic,I43d,Ca Al Mg Si O Cl,Adt,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
Aegirine,Aegirine,Aegirine,NaFe3+Si2O6,NaFe^3+^Si_2_O_6_,NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>,NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>,Na Fe Si O,,790,1835,Approved,Pyroxene,monoclinic,C2/c,Na Fe^3+ Si O,Aeg,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Aegirine-augite,Aegirine-augite,Aegirine-augite,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>",Ca Na Fe Mg Si O,,4919,1892,"Approved, Redefined",Pyroxene,monoclinic,C2/c,Ca Na Fe^3+ Mg Fe^2+ Si O,Aeg-Aug,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Aenigmatite,Aenigmatite,Aenigmatite,Na4(Fe2+10Ti4+2)O4[Si12O36],Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Na<sub>4</sub>(Fe<sup>2+</sup><sub>10</sub>Ti<sup>4+</sup><sub>2</sub>)O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],Na Fe Ti O Si,,791,1865,Approved,Sapphirine,triclinic,P1,Na Fe^2+ Ti^4+ O Si,Aen,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Aerinite,Aerinite,Aerinite,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O",Ca Na Fe Mg Al Si O H C,,792,1876,"Approved, Redefined",Not in a structural group,hexagonal,P3c1,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,Aer,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
Aerugite,Aerugite,Aerugite,Ni2+8.5(As5+O4)2As5+O8,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_,Ni<sup>2+</sup><sub>8.5</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>,Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>,Ni As O,,4876,1858,"Approved, Redefined",Not in a structural group,hexagonal,R3m,Ni^2+ As^5+ O,Aru,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Aeschynite-(Ce),Aeschynite-(Ce),Aeschynite-(Ce),Ce3+(Ti4+Nb5+)O6,Ce^3+^(Ti^4+^Nb^5+^)O_6_,Ce<sup>3+</sup>(Ti<sup>4+</sup>Nb<sup>5+</sup>)O<sub>6</sub>,Ce(TiNb)O<sub>6</sub>,Ce Ti Nb O,,793,1830,"Approved, Renamed",Aeschynite,orthorhombic,,Ce^3+ Ti^4+ Nb^5+ O,Aes-Ce,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Aeschynite-(Nd),Aeschynite-(Nd),Aeschynite-(Nd),Nd(Ti4+Nb5+)O6,Nd(Ti^4+^Nb^5+^)O_6_,Nd(Ti<sup>4+</sup>Nb<sup>5+</sup>)O<sub>6</sub>,Nd(TiNb)O<sub>6</sub>,Nd Ti Nb O,,794,1982,Approved,Aeschynite,orthorhombic,"Pbmn, Pncm",Nd Ti^4+ Nb^5+ O,Aes-Nd,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Aeschynite-(Y),Aeschynite-(Y),Aeschynite-(Y),Y(Ti4+Nb5+)O6,Y(Ti^4+^Nb^5+^)O_6_,Y(Ti<sup>4+</sup>Nb<sup>5+</sup>)O<sub>6</sub>,Y(TiNb)O<sub>6</sub>,Y Ti Nb O,,795,1906,"Approved, Renamed",Aeschynite,orthorhombic,"Pbnm, Pnma",Y Ti^4+ Nb^5+ O,Aes-Y,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites"
Afghanite,Afghanite,Afghanite,"(Na,K)22Ca10(Si24Al24)O96(S6+O4)6Cl6","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>",Na K Ca Si Al O S Cl,,796,1967,Approved,Cancrinite-sodalite,hexagonal,P31c,Na K Ca Si Al O S^6+ Cl,Afg,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Afmite,Afmite,Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O,Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O,Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O,Al O H P,,5844,2005,Approved,,triclinic,P1,Al O H P,Afm,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Afwillite,Afwillite,Afwillite,Ca3(SiO4)(SiO2(OH)2)·2H2O,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Ca<sub>3</sub>(SiO<sub>4</sub>)(SiO<sub>2</sub>(OH)<sub>2</sub>)·2H<sub>2</sub>O,Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>]·2H<sub>2</sub>O,Ca Si O H,,797,1925,"Approved, Grandfathered",Spurrite-Afwillite,"monoclinic, triclinic","Cc, P1",Ca Si O H,Afw,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
